Date,Time,TZ,Name,Path,GPS Time,Col 1,Longitude,Col 2,Latitude,Bearing,Speed,Altitude,HDOP,Temp,Pressue,Description,Total TxC,Telemetry TxC,Status TxC,Icon,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23
4/28/2023,9:12:08 AM,CDT:,KB9SAT-13,"APLIGA,WA9RES*,WIDE2-1,qAR,KC8RFE-2",141201,4032.03,40.3203,8854.82,-88.5482,41,6,2145,00169H,43.5C,1699hPa,Atlas-7,,,,190,,,,,,,,,,,
4/28/2023,9:13:08 AM,CDT:,KB9SAT-13,"APLIGA,WIDE2-1,qAR,KC8RFE-3",141302,4031.97,40.3197,8854.76,-88.5476,197,11,3336,00111H,43.7C,1674hPa,Atlas-7,,,,190,,,,,,,,,,,
4/28/2023,9:14:09 AM,CDT:,KB9SAT-13,"APLIGA,WIDE2-1,qAR,KA3BQE",141403,4031.83,40.3183,8854.83,-88.5483,202,16,4423,00098H,43.7C,1648hPa,Atlas-7,,,,190,,,,,,,,,,,
4/28/2023,9:15:10 AM,CDT:,KB9SAT-13,"APLIGA,WIDE2-1,qAR,KA3BQE",141504,4031.68,40.3168,8854.9,-88.549,155,10,5533,00097H,43.8C,1623hPa,Atlas-7,,,,190,,,,,,,,,,,
4/28/2023,9:16:11 AM,CDT:,KB9SAT-13,"APLIGA,WIDE2-1,qAO,KS9A-10",141605,4031.5,40.315,8855.01,-88.5501,182,15,6685,00093H,43.7C,1590hPa,Atlas-7,,,,190,,,,,,,,,,,
4/28/2023,9:17:12 AM,CDT:,KB9SAT-13,"APLIGA,WIDE2-1,qAO,KS9A-10",141706,4031.26,40.3126,8855.2,-88.552,211,22,7787,00115H,43.6C,1557hPa,Atlas-7,,,,190,,,,,,,,,,,
4/28/2023,9:18:13 AM,CDT:,KB9SAT-13,"APLIGA,WIDE2-1,qAR,KC8RFE-3",141807,4031.05,40.3105,8855.35,-88.5535,259,7,8888,00248H,43.5C,1526hPa,Atlas-7,,,,190,,,,,,,,,,,
4/28/2023,9:19:15 AM,CDT:,KB9SAT-13,"APLIGA,W9AZ-1,WIDE2*,qAR,K9MQ-1",141908,4030.82,40.3082,8855.51,-88.5551,176,14,10032,00097H,43.4C,1496hPa,Atlas-7,,,,190,,,,,,,,,,,
4/28/2023,9:20:15 AM,CDT:,KB9SAT-13,"APLIGA,WIDE2-1,qAR,WB9EOC-10",142009,4030.59,40.3059,8855.67,-88.5567,231,22,11251,00104H,43.1C,1461hPa,Atlas-7,,,,190,,,,,,,,,,,
4/28/2023,9:20:50 AM,CDT:,KB9SAT-13,"APLIGA,WIDE2-1,qAO,KS9A-10",,,,,,,,,6.01V,07S,00104H,00000000F,0148T,0110T,0038T,Atlas-7,,,,,,,,,,,
4/28/2023,9:20:50 AM,CDT:,KB9SAT-13,"APLIGA,WIDE2-1,qAR,W9PFD",,,,,,,,,6.01V,07S,00104H,00000000F,0148T,0110T,0038T,Atlas-7,,,,,,,,[Unsupported,packet,format],
4/28/2023,9:21:10 AM,CDT:,KB9SAT-13,"APLIGA,WIDE2-1,qAR,KC8RFE-3",,,,,,,,,Community,High,School,IL,STEM,,,,,,,,,,,,,,
4/28/2023,9:21:10 AM,CDT:,KB9SAT-13,"APLIGA,WIDE2-1,qAR,W9PFD",,,,,,,,,Community,High,School,IL,STEM,[Unsupported,packet,format],,,,,,,,,,,
4/28/2023,9:21:29 AM,CDT:,KB9SAT-13,"APLIGA,WIDE2-1,qAR,KC8RFE-3",,,,,,,,,Hour,-,Barry,the,Barometric,Balloon,,,,,,,,,,,,,
4/28/2023,9:21:29 AM,CDT:,KB9SAT-13,"APLIGA,WIDE2-1,qAR,W9PFD",,,,,,,,,Hour,-,Barry,the,Barometric,Balloon,[Unsupported,packet,format],,,,,,,,,,
4/28/2023,9:21:59 AM,CDT:,KB9SAT-13,"APLIGA,WIDE2-1,qAO,KS9A-10",142153,4030.16,40.3016,8856.02,-88.5602,211,19,13188,00092H,43.4C,1438hPa,Atlas-7,,,,190,,,,,,,,,,,
4/28/2023,9:23:00 AM,CDT:,KB9SAT-13,"APLIGA,WIDE2-1,qAO,KS9A-10",142254,4030.01,40.3001,8855.92,-88.5592,115,6,14275,00170H,42.9C,1390hPa,Atlas-7,,,,190,,,,,,,,,,,
4/28/2023,9:24:01 AM,CDT:,KB9SAT-13,"APLIGA,WIDE2-1,qAR,KC8RFE-2",142355,4029.86,40.2986,8855.9,-88.559,138,14,15436,00093H,42.4C,1347hPa,Atlas-7,,,,190,,,,,,,,,,,
4/28/2023,9:26:03 AM,CDT:,KB9SAT-13,"APLIGA,WIDE2-1,qAO,KS9A-10",142557,4029.65,40.2965,8855.66,-88.5566,193,10,17579,00127H,41.5C,1265hPa,Atlas-7,,,,190,,,,,,,,,,,
4/28/2023,9:27:04 AM,CDT:,KB9SAT-13,"APLIGA,WIDE2-1,qAO,KS9A-10",142658,4029.55,40.2955,8855.44,-88.5544,138,17,18777,00099H,41.1C,1226hPa,Atlas-7,,,,190,,,,,,,,,,,
