(ft) (m) 𝜽 (K) (◦C) 𝜹 (N/m2) (lb/ft2) 𝝈 (kg/m3) (slug/ft3) (m/s) (ft/s) (kt)
−2000 −609.6 1.0138 292.11 18.96 1.0744 108866 2273.7 1.0598 1.2983 2.519E-3 342.6 1124 666.0
−1800 −548.6 1.0124 291.72 18.57 1.0668 108092 2257.5 1.0537 1.2908 2.505E-3 342.4 1123 665.6
−1600 −487.7 1.0110 291.32 18.17 1.0592 107322 2241.5 1.0477 1.2834 2.490E-3 342.2 1123 665.1
−1400 −426.7 1.0096 290.92 17.77 1.0516 106557 2225.5 1.0416 1.2760 2.476E-3 341.9 1122 664.7
−1200 −365.8 1.0083 290.53 17.38 1.0441 105797 2209.6 1.0356 1.2686 2.461E-3 341.7 1121 664.2
−1000 −304.8 1.0069 290.13 16.98 1.0367 105041 2193.8 1.0296 1.2612 2.447E-3 341.5 1120 663.7
−800 −243.8 1.0055 289.73 16.58 1.0293 104289 2178.1 1.0236 1.2539 2.433E-3 341.2 1120 663.3
−600 −182.9 1.0041 289.34 16.19 1.0219 103541 2162.5 1.0177 1.2467 2.419E-3 341.0 1119 662.8
−400 −121.9 1.0028 288.94 15.79 1.0145 102798 2147.0 1.0118 1.2394 2.405E-3 340.8 1118 662.4
−200 −61.0 1.0014 288.55 15.40 1.0072 102059 2131.6 1.0059 1.2322 2.391E-3 340.5 1117 661.9
0 0.0 1.0000 288.15 15.00 1.0000 101325 2116.2 1.0000 1.2250 2.377E-3 340.3 1116 661.5
200 61.0 0.9986 287.75 14.60 0.9928 100595 2101.0 0.9942 1.2178 2.363E-3 340.1 1116 661.0
400 121.9 0.9972 287.36 14.21 0.9856 99869 2085.8 0.9883 1.2107 2.349E-3 339.8 1115 660.6
600 182.9 0.9959 286.96 13.81 0.9785 99147 2070.7 0.9826 1.2036 2.335E-3 339.6 1114 660.1
800 243.8 0.9945 286.57 13.42 0.9714 98430 2055.7 0.9768 1.1966 2.322E-3 339.4 1113 659.7
1000 304.8 0.9931 286.17 13.02 0.9644 97717 2040.9 0.9711 1.1896 2.308E-3 339.1 1113 659.2
1200 365.8 0.9917 285.77 12.62 0.9574 97008 2026.0 0.9654 1.1826 2.295E-3 338.9 1112 658.7
1400 426.7 0.9904 285.38 12.23 0.9504 96303 2011.3 0.9597 1.1756 2.281E-3 338.7 1111 658.3
1600 487.7 0.9890 284.98 11.83 0.9435 95602 1996.7 0.9540 1.1687 2.268E-3 338.4 1110 657.8
1800 548.6 0.9876 284.58 11.43 0.9366 94905 1982.1 0.9484 1.1618 2.254E-3 338.2 1110 657.4
2000 609.6 0.9862 284.19 11.04 0.9298 94213 1967.7 0.9428 1.1549 2.241E-3 337.9 1109 656.9
2200 670.6 0.9849 283.79 10.64 0.9230 93525 1953.3 0.9372 1.1481 2.228E-3 337.7 1108 656.5
2400 731.5 0.9835 283.40 10.25 0.9163 92840 1939.0 0.9316 1.1413 2.214E-3 337.5 1107 656.0
2600 792.5 0.9821 283.00 9.85 0.9095 92160 1924.8 0.9261 1.1345 2.201E-3 337.2 1106 655.5
