"date","time","latitude","longitude","velocity","numSatellites","temperature","pressure","altitude"
"","","","","","0","12.96718","99103.26","177.145"
"","","","","","0","12.96718","99119.93","175.8011"
"","","","","","0","12.90636","99102.87","177.1765"
"21-04-23","13:44:21","","","","0","12.90636","99108.67","176.7088"
"21-04-23","13:44:52","4031.254","-8901.441","0.61","0","12.7034","99050.74","181.3802"
"21-04-23","13:45:23","4031.255","-8901.439","0.119","4","12.7034","99129.7","175.0138"
"21-04-23","13:45:54","4031.256","-8901.439","0.022","5","12.75756","99145.3","173.7556"
"21-04-23","13:46:25","4031.257","-8901.44","0.165","7","12.75756","99008.38","184.7977"
"21-04-23","13:46:56","4031.257","-8901.44","0.045","7","13.08873","99102.59","177.1993"
"21-04-23","13:47:27","4031.257","-8901.439","0.167","7","13.08873","99046.77","181.7012"
"21-04-23","13:47:58","4031.257","-8901.44","0.153","7","13.10897","99052.7","181.2221"
"21-04-23","13:48:29","4031.254","-8901.44","0.612","8","13.10897","99045.45","181.8065"
"21-04-23","13:49:00","4031.256","-8901.439","0.494","5","13.32471","99106.9","176.8517"
"21-04-23","13:49:31","4031.256","-8901.44","0.673","7","13.32471","99175.8","171.2982"
"21-04-23","13:50:02","4031.258","-8901.438","0.032","6","12.73048","99006.02","184.9882"
"21-04-23","13:50:33","4031.259","-8901.437","0.062","8","12.73048","99167.56","171.9626"
"21-04-23","13:51:04","4031.258","-8901.437","0.124","9","12.41869","99078.27","179.1595"
"21-04-23","13:51:35","4031.256","-8901.438","0.167","9","12.41869","98986.34","186.5775"
"21-04-23","13:52:06","4031.257","-8901.437","0.022","9","12.79139","99093.37","177.9427"
"21-04-23","13:52:37","4031.257","-8901.437","0.079","9","12.79139","99037.59","182.4413"
"21-04-23","13:53:08","4031.258","-8901.437","0.048","9","13.08197","99120.67","175.7411"
"21-04-23","13:53:37","4031.258","-8901.438","0.094","9","13.08197","99238.85","166.2205"
"21-04-23","13:54:08","4031.258","-8901.439","0.864","9","12.56791","99091.74","178.0737"
"21-04-23","13:54:39","4031.259","-8901.438","0.562","9","12.56791","99019.33","183.9148"
"21-04-23","13:55:10","4031.259","-8901.437","0.128","8","12.74402","99069.14","179.8963"
"21-04-23","13:55:41","4031.26","-8901.437","0.562","9","12.74402","99009.74","184.6882"
"21-04-23","13:56:12","4031.25","-8901.422","2.425","9","12.87932","99048.34","181.5745"
"21-04-23","13:56:43","4031.242","-8901.412","0.093","9","12.87932","99268.63","163.8231"
"21-04-23","13:57:14","4031.241","-8901.412","0.055","9","12.18769","99070.57","179.781"
"21-04-23","13:57:45","4031.241","-8901.41","0.09","9","12.18769","98924.42","191.5766"
"21-04-23","13:58:16","4031.241","-8901.41","0.117","9","13.02796","99165.27","172.1474"
"21-04-23","13:58:47","4031.241","-8901.409","0.083","9","13.02796","99007.25","184.8892"
