
2024-05-03 08:03:06 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:>Bat 4.58v, 1TxC, 1SxC, 00S No GPS Lock: Time 2000-00-00 00:00:00,    0M,  93961Pa
2024-05-03 08:03:42 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:>Bat 4.57v, 1TxC, 2SxC, 04S Normal West Community High School STEM
2024-05-03 08:03:42 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:/130336h4031.25N/08901.35WO000/000/A=000897 001TxC  17.50C  973.09hPa  4.68V 04S   0.00C      0.0Pa  0.00% !wHE!
2024-05-03 08:05:00 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:>Bat 4.55v, 1TxC, 1SxC, 00S No GPS Lock: Time 2000-00-00 00:00:00,    0M,  95172Pa
2024-05-03 08:18:11 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:>Bat 4.53v, 1TxC, 1SxC, 00S No GPS Lock: Time 2000-00-00 00:00:00,    0M,  95765Pa
2024-05-03 08:18:33 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:>Bat 4.52v, 1TxC, 1SxC, 00S No GPS Lock: Time 2000-00-00 00:00:00,    0M,  97304Pa
2024-05-03 08:19:26 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:>Bat 4.49v, 1TxC, 2SxC, 00S No GPS Lock: Time 2024-05-03 13:19:26,    0M,  99574Pa
2024-05-03 08:20:19 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:>Bat 4.49v, 1TxC, 3SxC, 00S No GPS Lock: Time 2024-05-03 13:20:18,    0M, 100278Pa
2024-05-03 08:21:10 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:>Bat 4.51v, 1TxC, 4SxC, 00S No GPS Lock: Time 2024-05-03 13:21:10,    0M, 100977Pa
2024-05-03 08:22:02 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:>Bat 4.49v, 1TxC, 5SxC, 00S No GPS Lock: Time 2024-05-03 13:22:02,    0M, 100800Pa
2024-05-03 08:23:46 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:>Bat 4.51v, 1TxC, 7SxC, 00S No GPS Lock: Time 2024-05-03 13:23:46,    0M, 100465Pa
2024-05-03 08:24:39 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:>Bat 4.53v, 1TxC, 8SxC, 04S No GPS Lock: Time 2024-05-03 13:24:38,    0M, 100752Pa
2024-05-03 08:25:30 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:>Bat 4.51v, 1TxC, 9SxC, 04S No GPS Lock: Time 2024-05-03 13:25:30,    0M, 100145Pa
2024-05-03 08:26:21 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:>Bat 4.53v, 1TxC, 10SxC, 05S Normal West Community High School STEM
2024-05-03 08:26:23 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:/132621h4031.25N/08901.36WO000/002/A=000804 001TxC  17.00C  993.67hPa  4.65V 05S   0.00C      0.0Pa  0.00% !wN%!
2024-05-03 08:27:16 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:/132622h4031.25N/08901.36WO015/004/A=000809 002TxC  17.10C  995.45hPa  4.66V 05S   0.00C      0.0Pa  0.00% !wN%! !wY%!
2024-05-03 08:28:08 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:/132716h4031.25N/08901.35WO015/000/A=000839 003TxC  18.00C 1014.93hPa  4.64V 06S   0.00C      0.0Pa  0.00% !wN%! !wY%! !wv`!
2024-05-03 08:29:01 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:/132808h4031.26N/08901.36WO015/000/A=000839 004TxC  18.70C 1030.25hPa  4.68V 07S   0.00C      0.0Pa  0.00% !wN%! !wY%! !wv`!
2024-05-03 08:29:53 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:/132859h4031.26N/08901.36WO015/000/A=000824 005TxC  19.70C 1050.38hPa  4.65V 11S   0.00C      0.0Pa  0.00% !wN%! !wY%! !wv`!
2024-05-03 08:30:46 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:/132951h4031.26N/08901.36WO015/000/A=000809 006TxC  20.00C 1056.05hPa  4.62V 12S   0.00C      0.0Pa  0.00% !wN%! !wY%! !wv`!
2024-05-03 08:31:39 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KW9D-1:/133136h4031.26N/08901.36WO015/000/A=000829 007TxC  20.50C 1066.07hPa  4.64V 12S   0.00C      0.0Pa  0.00% !wN%! !wY%! !wv`!
2024-05-03 08:32:32 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:/133229h4031.26N/08901.36WO015/000/A=000855 008TxC  21.20C 1078.26hPa  4.64V 11S   0.00C      0.0Pa  0.00% !wN%! !wY%! !wv`!
2024-05-03 08:33:26 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:/133322h4031.26N/08901.36WO015/000/A=000855 009TxC  21.80C 1091.51hPa  4.64V 12S   0.00C      0.0Pa  0.00% !wN%! !wY%! !wv`!
2024-05-03 08:35:11 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:/133508h4031.26N/08901.36WO015/000/A=000766 011TxC  20.30C 1051.11hPa  4.65V 12S   0.00C      0.0Pa  0.00% !wN%! !wY%! !wv`!
2024-05-03 08:36:04 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:/133601h4031.26N/08901.36WO015/000/A=000759 012TxC  18.70C 1017.00hPa  4.64V 11S   0.00C      0.0Pa  0.00% !wN%! !wY%! !wv`!
2024-05-03 08:36:57 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:/133654h4031.26N/08901.36WO015/001/A=000794 013TxC  17.50C  991.99hPa  4.69V 12S   0.00C      0.0Pa  0.00% !wN%! !wY%! !wv`!
2024-05-03 08:38:43 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:/133840h4031.26N/08901.36WO015/000/A=000798 015TxC  17.90C 1002.53hPa  4.63V 12S   0.00C      0.0Pa  0.00% !wN%! !wY%! !wv`!
2024-05-03 08:39:36 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:/133933h4031.26N/08901.36WO015/000/A=000809 016TxC  18.60C 1018.37hPa  4.64V 12S   0.00C      0.0Pa  0.00% !wN%! !wY%! !wv`!
2024-05-03 08:40:29 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:/134026h4031.26N/08901.36WO015/000/A=000813 017TxC  18.30C 1011.22hPa  4.64V 12S   0.00C      0.0Pa  0.00% !wN%! !wY%! !wv`!
